Datetime,Consumption
2025-11-02 20:05:00,9387.75
2025-11-02 20:10:00,9359.52
2025-11-02 20:15:00,9301.27
2025-11-02 20:20:00,9309.8
2025-11-02 20:25:00,9277.0
2025-11-02 20:30:00,9257.96
2025-11-02 20:35:00,9220.59
2025-11-02 20:40:00,9231.69
2025-11-02 20:45:00,9206.88
2025-11-02 20:50:00,9141.29
2025-11-02 20:55:00,9123.26
2025-11-02 21:00:00,9078.11
2025-11-02 21:05:00,9082.07
2025-11-02 21:10:00,9029.17
2025-11-02 21:15:00,9013.13
2025-11-02 21:20:00,8949.66
2025-11-02 21:25:00,8919.26
2025-11-02 21:30:00,8805.76
2025-11-02 21:35:00,8782.41
2025-11-02 21:40:00,8728.81
2025-11-02 21:45:00,8740.56
2025-11-02 21:50:00,8638.42
2025-11-02 21:55:00,8665.67
2025-11-02 22:00:00,8609.45
2025-11-02 22:05:00,8625.29
2025-11-02 22:10:00,8600.01
2025-11-02 22:15:00,8558.73
2025-11-02 22:20:00,8514.17
2025-11-02 22:25:00,8466.18
2025-11-02 22:30:00,8420.72
2025-11-02 22:35:00,8396.3
2025-11-02 22:40:00,8359.39
2025-11-02 22:45:00,8292.07
2025-11-02 22:50:00,8283.69
2025-11-02 22:55:00,8226.81
2025-11-02 23:00:00,8162.08
2025-11-02 23:05:00,8138.67
2025-11-02 23:10:00,8080.06
2025-11-02 23:15:00,8058.78
2025-11-02 23:20:00,8018.79
2025-11-02 23:25:00,7985.41
2025-11-02 23:30:00,7933.9
2025-11-02 23:35:00,7887.65
2025-11-02 23:40:00,7861.62
2025-11-02 23:45:00,7808.41
2025-11-02 23:50:00,7783.33
2025-11-02 23:55:00,7697.71
2025-11-03 00:00:00,7681.29
2025-11-03 00:05:00,7558.16
2025-11-03 00:10:00,7563.92
2025-11-03 00:15:00,7521.1
2025-11-03 00:20:00,7479.9
2025-11-03 00:25:00,7444.78
2025-11-03 00:30:00,7413.32
2025-11-03 00:35:00,7398.88
2025-11-03 00:40:00,7297.69
2025-11-03 00:45:00,7269.42
2025-11-03 00:50:00,7228.73
2025-11-03 00:55:00,7187.7
2025-11-03 01:00:00,7144.81
2025-11-03 01:05:00,7097.72
2025-11-03 01:10:00,7115.94
2025-11-03 01:15:00,7071.2
2025-11-03 01:20:00,7034.92
2025-11-03 01:25:00,7009.31
2025-11-03 01:30:00,6978.1
2025-11-03 01:35:00,6954.61
2025-11-03 01:40:00,6902.82
2025-11-03 01:45:00,6872.32
2025-11-03 01:50:00,6852.08
2025-11-03 01:55:00,6836.74
2025-11-03 02:00:00,6821.08
2025-11-03 02:05:00,6802.84
2025-11-03 02:10:00,6791.8
2025-11-03 02:15:00,6772.33
2025-11-03 02:20:00,6757.27
2025-11-03 02:25:00,6710.94
2025-11-03 02:30:00,6698.33
2025-11-03 02:35:00,6696.98
2025-11-03 02:40:00,6685.4
2025-11-03 02:45:00,6664.5
2025-11-03 02:50:00,6646.7
2025-11-03 02:55:00,6636.65
2025-11-03 03:00:00,6633.37
2025-11-03 03:05:00,6639.76
2025-11-03 03:10:00,6634.34
2025-11-03 03:15:00,6625.94
2025-11-03 03:20:00,6632.6
2025-11-03 03:25:00,6634.94
2025-11-03 03:30:00,6627.69
2025-11-03 03:35:00,6614.18
2025-11-03 03:40:00,6609.94
2025-11-03 03:45:00,6615.81
2025-11-03 03:50:00,6612.78
2025-11-03 03:55:00,6620.94
2025-11-03 04:00:00,6627.17
2025-11-03 04:05:00,6654.88
2025-11-03 04:10:00,6652.47
2025-11-03 04:15:00,6653.05
2025-11-03 04:20:00,6662.64
2025-11-03 04:25:00,6687.12
2025-11-03 04:30:00,6677.31
2025-11-03 04:35:00,6701.45
2025-11-03 04:40:00,6699.12
2025-11-03 04:45:00,6711.39
2025-11-03 04:50:00,6735.49
2025-11-03 04:55:00,6747.81
2025-11-03 05:00:00,6761.6
2025-11-03 05:05:00,6831.21
2025-11-03 05:10:00,6852.09
2025-11-03 05:15:00,6883.69
2025-11-03 05:20:00,6913.69
